ResponseID,StartDate,EndDate,Week No.,Q001,Q001_999,Weight
R_2OVnKUmPNQFcZTh,9/3/2017 0:00,9/3/2017 0:00,36,1,"Get rid of the ""over-controlling"" and ""resource hog"" One Drive! It aught to be an option not a program that takes over and cannot be shut off! Shame on whoever attached this to Office!",0.14252
R_3OoayRW5eGE6BR3,9/3/2017 0:00,9/3/2017 0:00,36,5,I find the Onedrive windows implementation lacking in comparison to OSX. Improving that would help.,0.52427
R_1OwbJ9ndTD8w1mr,9/3/2017 0:00,9/3/2017 0:00,36,4,I have no problems with it.,0.54471
R_TkdIReFD4P5zo6B,9/3/2017 0:00,9/3/2017 0:00,36,4,,3.34376
R_1dhjgpU4CYmzTq4,9/3/2017 0:00,9/3/2017 0:00,36,5,Easier way to log-in online.,0.73028
R_VPAjNoDYO5sV7m9,9/3/2017 0:00,9/3/2017 0:00,36,5,Continue making improvements,0.30176
R_3pgodvHM7b1Vqyo,9/3/2017 0:00,9/3/2017 0:00,36,5,Fix all the bugs related to tables.  They seem to act on their own. Words gets stuck and running on loops when one works with tables.\Tell us how the 365 interferes or works with the 2010 Suite.,0.20286
R_3E9DUaSw4uk3gZf,9/3/2017 0:00,9/3/2017 0:00,36,4,,0.26222
R_30f3nwc4UUOTAlk,9/3/2017 0:00,9/3/2017 0:00,36,5,"For what I use it for, I am not in needed of any changes or updates at this time. I do use it almost daily for various reason.",0.17823
R_2e8tsZhS5pc72r1,9/3/2017 0:00,9/3/2017 0:00,36,5,"By being able to use voice activation to open files, close files, and to operate the functions within files, like inserting files, pictures and objects.",0.30179
R_268Xhh2jV1aUx2l,9/3/2017 0:00,9/3/2017 0:00,36,3,One note appears that its storage its storage is only web based. So it's  a non starter.,0.92344
R_bDX6sNNHepBv4VX,9/3/2017 0:00,9/3/2017 0:00,36,4,,1.31444
R_1OOKoGbb1tZOJ3y,9/3/2017 0:00,9/3/2017 0:00,36,4,Make it available by paid subscription for 3 years instead of just 1 yr.,0.54471
R_1NxHkm3Yez5iFLY,9/3/2017 0:00,9/3/2017 0:00,36,4,Cannot say as I do not use it much,1.31017
R_4Vd4d1E30q0Gipb,9/3/2017 0:00,9/3/2017 0:00,36,4,Continue with the same energy and enthusiasm all day. Which is what I see most encounters.,3.36909
R_sHlYsjzipdte6hr,9/3/2017 0:00,9/3/2017 0:00,36,4,,0.04657
R_3HLF0u7ks5s1EtX,9/4/2017 0:00,9/4/2017 0:00,36,3,,0
R_NVzhT47VeV9xdE5,9/4/2017 0:00,9/4/2017 0:00,36,4,,0.31887
R_2qlBdqo1auOMk76,9/4/2017 0:00,9/4/2017 0:00,36,5,"I would like to be able to type on two or more documents at one time (i.e. type on the main one, then have it automatically being typed and seen on the other ones).",0.10863
R_210dtK0VYCMt8cF,9/4/2017 0:00,9/4/2017 0:00,36,5,,0.04924
R_3qL6ZNbQMRXcgsn,9/4/2017 0:00,9/4/2017 0:00,36,4,,0.38268
R_26nerx0evFOd1Zx,9/4/2017 0:00,9/4/2017 0:00,36,4,Get rid of annual subscriptions.,0
R_afKWSxDg8rTv90l,9/4/2017 0:00,9/4/2017 0:00,36,4,,0
R_1owpuIjVJEWeKk5,9/4/2017 0:00,9/4/2017 0:00,36,3,Too expensive,0
R_1j9UpcXdLeFpCgE,9/4/2017 0:00,9/4/2017 0:00,36,4,,0
R_3kuKOSYLm0AkoJa,9/4/2017 0:00,9/4/2017 0:00,36,4,,0
R_UFNAag7OnDrVxBf,9/4/2017 0:00,9/4/2017 0:00,36,3,"stop thinking millennials are the only computer users.  Stop making stupid ass changes that change the cosmetic aspect of the program ... it IS NOT better just because some jerk thinks it's ""prettier"".",0
R_3oC3Z6YbCQtbTDK,9/4/2017 0:00,9/4/2017 0:00,36,5,,0
R_6yP2XKPUDm0Cb9D,9/4/2017 0:00,9/4/2017 0:00,36,5,,0
R_ptnQCRS1VRl54Jj,9/4/2017 0:00,9/4/2017 0:00,36,4,Stabilize the entry location in Word. You never know where you will be typing because the entry location can change without warning.,0
R_1EhuWmT02T1rOyt,9/4/2017 0:00,9/4/2017 0:00,36,4,,0
R_3GrzJW9Tw7IDIlj,9/4/2017 0:00,9/4/2017 0:00,36,5,I enjoy Office 365 very much. It has helped with my school work and every day life.,0
R_3n8KbQT1VpWy9hQ,9/4/2017 0:00,9/4/2017 0:00,36,4,,0
R_3iQ2INVgfbDNsiT,9/4/2017 0:00,9/4/2017 0:00,36,5,,0
R_3fI65hxSvdrHSRJ,9/4/2017 0:00,9/4/2017 0:00,36,5,,0
R_6WnTmH4NVnk1hVD,9/4/2017 0:00,9/4/2017 0:00,36,4,RIGHT NOW I HAVE SOME BUGS IN MINE.  I'D LIKE TO GET THEM WORKED OUT.,0
R_1jjqXrNeTqesnUW,9/4/2017 0:00,9/4/2017 0:00,36,4,,0
R_2zih4hQZSqUbDu7,9/4/2017 0:00,9/4/2017 0:00,36,4,Works good for me right now,0
R_pzcrY5bqFL5PBrr,9/4/2017 0:00,9/4/2017 0:00,36,3,,0
R_2uERAl2qoxya7aA,9/4/2017 0:00,9/4/2017 0:00,36,4,Make it free,0
R_3HjmnOKJXBguhtM,9/4/2017 0:00,9/4/2017 0:00,36,1,"fix my account, still telling me to reactivate, my bill is current, cannot figure out why your system is still screwed up",0
R_rcqV9rDIuWnE0Zr,9/4/2017 0:00,9/4/2017 0:00,36,5,Great as it is now.,0
R_AHAew4QibuFZ0jf,9/4/2017 0:00,9/4/2017 0:00,36,5,microsoft publisher for mac,0
R_vdCaU77MHtexLUd,9/4/2017 0:00,9/4/2017 0:00,36,3,Downloading is extremely slow,0
R_2zpSUldwmPkQl1i,9/4/2017 0:00,9/4/2017 0:00,36,5,Make it faster to open and close.  O365 often takes a very long time to open and/or close.,0
R_1IufpX3IknBrfzm,9/4/2017 0:00,9/4/2017 0:00,36,1,make it less complicated,0
R_74k63iuI3pRiItX,9/5/2017 0:00,9/5/2017 0:00,36,5,,0
R_2D6mKTYxjrA3vJz,9/5/2017 0:00,9/5/2017 0:00,36,5,,0
R_3p5MDoaduHutdma,9/5/2017 0:00,9/5/2017 0:00,36,2,"Screw the annual renewals.  One time purchase only.  If someone wants to upgrade, let them buy the new version.",0
R_1eOyLA4jSt7ZdKZ,9/5/2017 0:00,9/5/2017 0:00,36,5,,0
R_t06l098nI7znccx,9/5/2017 0:00,9/5/2017 0:00,36,4,,0
R_2ciI2xv6LX0p1P3,9/5/2017 0:00,9/5/2017 0:00,36,5,N/A,0
R_1PaPhuU6ieRwFAx,9/5/2017 0:00,9/5/2017 0:00,36,3,Cheaper price,0
R_3isRrllIKrIcdoq,9/5/2017 0:00,9/5/2017 0:00,36,2,Sell it on disk again,0
R_231zuEykFuudRQg,9/5/2017 0:00,9/5/2017 0:00,36,5,,0
R_2Xn5zXCVdErDzy1,9/5/2017 0:00,9/5/2017 0:00,36,5,,0
R_1FhxPfBYFqKm6Ah,9/5/2017 0:00,9/5/2017 0:00,36,5,,0
R_265q3AOAfsLUjvd,9/5/2017 0:00,9/5/2017 0:00,36,3,Not sure,0
R_Q6BFObmEj5M8sJr,9/5/2017 0:00,9/5/2017 0:00,36,3,make it a one time purchase,0
R_2oDYGJxgTAR51kd,9/5/2017 0:00,9/5/2017 0:00,36,3,"Give us an option to change default setting for Excel Auto Save from ""on"" to ""off"". I don't like to have the file date changed when I don't change contents of the file, just open to copy or look at data.",0
R_pSCIxNLr2iOUWhH,9/5/2017 0:00,9/5/2017 0:00,36,3,no idea at this time,0
R_3JmzXiatPTehx3b,9/5/2017 0:00,9/5/2017 0:00,36,5,,0
R_2xzUOsQOlkUcsiY,9/5/2017 0:00,9/5/2017 0:00,36,5,,0
R_2rOcDSXbnXDflth,9/5/2017 0:00,9/5/2017 0:00,36,1,Stop making users have to login. Make it more user friendly and stop forcing all your products to be on the cloud or connected.,0
R_qKGBRloPWzPmiRj,9/5/2017 0:00,9/5/2017 0:00,36,5,it's great right now!!,0
